roll_name,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8
RE-4/1,3036.218597,772.1628525,-10570.89922,2990.219406,804.3621388,-10570.89924,1886.996145,508.5865996,-10570.89967,1840.814118,442.6119742,-10570.89969,1889.645396,-114.621562,-10570.89966,1946.598345,-171.5583029,-10570.89964,3084.450295,-270.9447893,-10570.89919,3124.148042,-231.2357416,-10570.89917
RE-4/2,2588.799133,1763.906014,-10600.89929,2534.561229,1778.430796,-10600.89931,1599.031663,1123.168126,-10600.89971,1578.199404,1045.377074,-10600.89973,1814.670890,538.4501130,-10600.89969,1887.662668,504.4261337,-10600.89967,2990.885929,800.2016728,-10600.89924,3014.608315,851.0934010,-10600.89923
RE-4/3,1829.541670,2543.154757,-10570.89922,1773.606944,2538.253131,-10570.89924,1118.609746,1602.537680,-10570.89967,1125.639933,1522.312950,-10570.89969,1521.229675,1126.835436,-10570.89966,1601.456397,1119.828013,-10570.89964,2536.985962,1775.090682,-10570.89919,2541.871717,1831.026797,-10570.89917
RE-4/4,849.3182603,3015.278407,-10600.89929,798.4332651,2991.541583,-10600.89931,502.9707651,1888.234442,-10600.89971,537.0154534,1815.252322,-10600.89973,1044.009491,1578.92468,-10600.89969,1121.794629,1599.779011,-10600.89967,1776.791826,2535.494462,-10600.89924,1762.251655,2589.728243,-10600.89923
RE-4/5,-233.1981368,3124.176286,-10570.89922,-272.8959192,3084.467274,-10570.89924,-173.186584,1946.643569,-10570.89967,-116.2336862,1889.706778,-10570.89969,441.013683,1841.033611,-10570.89966,506.9752026,1887.234356,-10570.89964,802.4377026,2990.541495,-10570.89964,770.2253659,3036.531548,-10570.89964
RE-4/6,-1287.568066,2855.768523,-10600.89929,-1311.290497,2804.876816,-10600.89931,-828.4357438,1769.774878,-10600.89931,-755.4439965,1735.750833,-10600.89931,-215.1555521,1880.602842,-10600.89931,-168.9735842,1946.57751,-10600.89931,-268.6829193,3084.401214,-10600.89931,-314.6821388,3116.600459,-10600.89931
RE-4/7,-2186.821944,2243.36101,-10570.89922,-2191.707748,2187.4249,-10570.89922,-1383.946987,1379.893299,-10570.89922,-1303.720272,1372.885803,-10570.89922,-845.5575127,1693.791698,-10570.89922,-824.7253233,1771.582769,-10570.89922,-1307.580076,2806.684707,-10570.89922,-1361.817994,2821.20944,-10570.89922
RE-4/8,-2821.986984,1360.012808,-10600.89929,-2807.446862,1305.779014,-10600.89931,-1772.207961,823.2179789,-10600.89931,-1694.422804,844.0722396,-10600.89931,-1373.646921,1302.326034,-10600.89931,-1380.677179,1382.550758,-10600.89931,-2188.437941,2190.082359,-10600.89931,-2244.372663,2185.180683,-10600.89931
RE-4/9,-3117.207459,312.8521856,-10570.89924,-3084.995164,266.8621041,-10570.89924,-1947.143214,167.4756176,-10570.89924,-1881.181653,213.6763029,-10570.89924,-1736.482951,754.0058256,-10570.89924,-1770.527705,826.9879167,-10570.89924,-2805.766605,1309.548952,-10570.89924,-2856.651579,1285.812082,-10570.89924
RE-4/10,-3035.966829,-772.1080139,-10600.89929,-2989.967639,-804.3073002,-10600.89929,-1886.744377,-508.531761,-10600.89929,-1840.56235,-442.5571356,-10600.89929,-1889.393628,114.6764007,-10600.89929,-1946.346578,171.6131415,-10600.89929,-3084.198527,270.9996279,-10600.89929,-3123.896274,231.2905802,-10600.89929
RE-4/11,-2589.016961,-1764.043654,-10570.89922,-2534.779056,-1778.568436,-10570.89922,-1599.24949,-1123.305766,-10570.89922,-1578.417232,-1045.514714,-10570.89922,-1814.888717,-538.5877525,-10570.89922,-1887.880495,-504.5637731,-10570.89922,-2991.103757,-800.3393122,-10570.89922,-3014.826142,-851.2310404,-10570.89922
RE-4/12,-1829.384054,-2542.950915,-10600.89929,-1773.449327,-2538.04929,-10600.89929,-1118.45213,-1602.333838,-10600.89929,-1125.482317,-1522.109108,-10600.89929,-1521.072059,-1126.631595,-10600.89929,-1601.298781,-1119.624171,-10600.89929,-2536.828346,-1774.88684,-10600.89929,-2541.714101,-1830.822955,-10600.89929
RE-4/13,-849.3966521,-3015.523862,-10570.89967,-798.5116569,-2991.787038,-10570.89967,-503.0491568,-1888.479897,-10570.89967,-537.0938451,-1815.497776,-10570.89967,-1044.087882,-1579.170135,-10570.89967,-1121.873021,-1600.024466,-10570.89967,-1776.870218,-2535.739917,-10570.89967,-1762.330047,-2589.973698,-10570.89967
RE-4/14,233.1878516,-3123.918821,-10600.89929,272.885634,-3084.209809,-10600.89929,173.1762988,-1946.386104,-10600.89929,116.223401,-1889.449313,-10600.89929,-441.0239682,-1840.776146,-10600.89929,-506.9854878,-1886.97689,-10600.89929,-802.4479878,-2990.28403,-10600.89929,-770.2356511,-3036.274083,-10600.89929
RE-4/15,1287.66579,-2856.006941,-10570.89922,1311.388221,-2805.115234,-10570.89922,828.5334682,-1770.013297,-10570.89922,755.5417209,-1735.989252,-10570.89922,215.2532765,-1880.841261,-10570.89922,169.0713086,-1946.815928,-10570.89922,268.7806437,-3084.639633,-10570.89922,314.7798632,-3116.838878,-10570.89922
RE-4/16,2186.64857,-2243.170392,-10600.89929,2191.534375,-2187.234281,-10600.89929,1383.773613,-1379.70268,-10600.89929,1303.546898,-1372.695185,-10600.89929,845.3841389,-1693.60108,-10600.89929,824.5519495,-1771.392151,-10600.89929,1307.406702,-2806.494089,-10600.89929,1361.64462,-2821.018822,-10600.89929
RE-4/17,2822.215099,-1360.132632,-10570.89922,2807.674976,-1305.898838,-10570.89922,1772.436075,-823.3378026,-10570.89922,1694.650919,-844.1920633,-10570.89922,1373.875035,-1302.445858,-10570.89922,1380.905294,-1382.670582,-10570.89922,2188.666055,-2190.202182,-10570.89922,2244.600777,-2185.300507,-10570.89922
RE-4/18,3116.952121,-312.8176063,-10600.89929,3084.739825,-266.8275248,-10600.89929,1946.887875,-167.4410383,-10600.89929,1880.926315,-213.6417236,-10600.89929,1736.227612,-753.9712463,-10600.89929,1770.272366,-826.9533374,-10600.89929,2805.511267,-1309.514372,-10600.89929,2856.396241,-1285.777502,-10600.89929
RE-3/1,3026.39568,770.1191979,-9664.900015,2980.401057,802.3250097,-9664.900015,1634.399525,441.6649864,-9664.900015,1588.265155,375.7783402,-9664.900015,1629.42411,-94.67067081,-9664.900015,1686.298691,-151.5452015,-9664.900015,3074.479392,-272.995276,-9664.900015,3114.182772,-233.2918606,-9664.900015
RE-3/2,2580.400436,1758.945837,-9696.899992,2526.164592,1773.478314,-9696.899992,1384.689877,974.209114,-9696.899992,1363.87231,896.5170349,-9696.899992,1563.452115,468.5167625,-9696.899992,1636.348975,434.5244382,-9696.899992,2982.350507,795.1844616,-9696.899992,3006.080113,846.0728238,-9696.899992
RE-3/3,1823.330515,2535.275177,-9664.900015,1767.395093,2530.381487,-9664.900015,968.1258929,1388.906772,-9664.900015,975.1360347,1308.780072,-9664.900015,1309.064419,974.8516873,-9664.900015,1389.19112,967.8415454,-9664.900015,2530.665835,1767.110745,-9664.900015,2535.559525,1823.046167,-9664.900015
RE-3/4,846.0728246,3006.080113,-9696.899992,795.1844624,2982.350507,-9696.900001,434.5244384,1636.348975,-9696.900001,468.5167626,1563.452115,-9696.900001,896.5170349,1363.87231,-9696.900001,974.209114,1384.689877,-9696.900001,1773.478314,2526.164592,-9696.900001,1758.945838,2580.400435,-9696.900001
RE-3/5,-232.8912622,3114.147724,-9664.900015,-272.5946777,3074.444344,-9664.900015,-151.1446038,1686.263644,-9664.900015,-94.27007313,1629.389062,-9664.900015,376.1789379,1588.230107,-9664.900015,442.065584,1634.364477,-9664.900015,802.725608,2980.366009,-9664.900015,770.5197963,3026.360632,-9664.900015
RE-3/6,-1284.141664,2846.636094,-9696.899992,-1307.871315,2795.747753,-9696.899992,-718.9598146,1532.822964,-9696.899992,-646.0629854,1498.830575,-9696.899992,-189.9083295,1621.056846,-9696.899992,-143.7740182,1686.943534,-9696.899992,-265.2240921,3075.124235,-9696.899992,-311.218743,3107.330005,-9696.899992
RE-3/7,-2180.140629,2235.875941,-9664.900015,-2185.034369,2179.940524,-9664.900015,-1199.692861,1194.599015,-9664.900015,-1119.566166,1187.588802,-9664.900015,-732.7248489,1458.458008,-9664.900015,-711.9073513,1536.150106,-9664.900015,-1300.818852,2799.074895,-9664.900015,-1355.054708,2813.607323,-9664.900015
RE-3/8,-2813.491997,1355.219411,-9696.899992,-2798.959569,1300.983554,-9696.899992,-1536.03478,712.0720533,-9696.899992,-1458.342682,732.8895509,-9696.899992,-1187.473476,1119.730868,-9696.899992,-1194.483689,1199.857562,-9696.899992,-2179.825198,2185.199072,-9696.899992,-2235.760615,2180.305331,-9696.899992
RE-3/9,-3107.277966,311.4129567,-9664.900015,-3075.072196,265.4183057,-9664.900015,-1686.891495,143.9682312,-9664.900015,-1621.004807,190.1025424,-9664.900015,-1498.778536,646.2571983,-9664.900015,-1532.770925,719.1540276,-9664.900015,-2795.695714,1308.065529,-9664.900015,-2846.584055,1284.335878,-9664.900015
RE-3/10,-3026.378156,-770.3194967,-9696.899992,-2980.383533,-802.5253085,-9696.899992,-1634.382001,-441.8652852,-9696.899992,-1588.247631,-375.978639,-9696.899992,-1629.406586,94.47037202,-9696.899992,-1686.281167,151.3449027,-9696.899992,-3074.461868,272.7949772,-9696.899992,-3114.165248,233.0915618,-9696.899992
RE-3/11,-2580.485409,-1758.763612,-9664.900015,-2526.249566,-1773.296088,-9664.900015,-1384.774851,-974.0268883,-9664.900015,-1363.957284,-896.3348091,-9664.900015,-1563.537088,-468.3345368,-9664.900015,-1636.433948,-434.3422125,-9664.900015,-2982.435481,-795.0022359,-9664.900015,-3006.165086,-845.8905981,-9664.900015
RE-3/12,-1823.188341,-2535.417351,-9696.899992,-1767.252919,-2530.52366,-9696.899992,-967.9837192,-1389.048946,-9696.899992,-974.993861,-1308.922245,-9696.899992,-1308.922245,-974.9938609,-9696.899992,-1389.048946,-967.983719,-9696.899992,-2530.523661,-1767.252919,-9696.899992,-2535.417351,-1823.18834,-9696.899992
RE-3/13,-846.2550504,-3005.995139,-9664.900015,-795.3666882,-2982.265534,-9664.900015,-434.7066642,-1636.264002,-9664.900015,-468.6989884,-1563.367142,-9664.900015,-896.6992607,-1363.787337,-9664.900015,-974.3913399,-1384.604904,-9664.900015,-1773.66054,-2526.079619,-9664.900015,-1759.128064,-2580.315462,-9664.900015
RE-3/14,233.091561,-3114.165248,-9696.899992,272.7949765,-3074.461868,-9696.899992,151.3449026,-1686.281167,-9696.899992,94.47037194,-1629.406586,-9696.899992,-375.9786391,-1588.24763,-9696.899992,-441.8652852,-1634.382001,-9696.899992,-802.5253092,-2980.383533,-9696.899992,-770.3194975,-3026.378155,-9696.899992
RE-3/15,1283.947452,-2846.688134,-9664.900015,1307.677102,-2795.799793,-9664.900015,718.7656019,-1532.875003,-9664.900015,645.8687726,-1498.882614,-9664.900015,189.7141167,-1621.108886,-9664.900015,143.5798054,-1686.995573,-9664.900015,265.0298793,-3075.176274,-9664.900015,311.0245302,-3107.382044,-9664.900015
RE-3/16,2180.305331,-2235.760616,-9696.899992,2185.199071,-2179.825199,-9696.899992,1199.857562,-1194.48369,-9696.899992,1119.730868,-1187.473476,-9696.899992,732.8895507,-1458.342682,-9696.899992,712.0720531,-1536.03478,-9696.899992,1300.983554,-2798.959569,-9696.899992,1355.21941,-2813.491997,-9696.899992
RE-3/17,2813.376671,-1355.384113,-9664.900015,2798.844244,-1301.148256,-9664.900015,1535.919455,-712.2367553,-9664.900015,1458.227357,-733.0542528,-9664.900015,1187.35815,-1119.89557,-9664.900015,1194.368364,-1200.022264,-9664.900015,2179.709873,-2185.363774,-9664.900015,2235.64529,-2180.470033,-9664.900015
RE-3/18,3107.330005,-311.2187438,-9696.899992,3075.124235,-265.2240929,-9696.899992,1686.943534,-143.7740183,-9696.899992,1621.056846,-189.9083296,-9696.899992,1498.830575,-646.0629854,-9696.899992,1532.822964,-718.9598147,-9696.899992,2795.747753,-1307.871316,-9696.899992,2846.636094,-1284.141665,-9696.899992
RE+3/1,3026.482823,769.1228029,9696.100912,2980.488201,801.3286147,9696.100906,1634.486669,440.6685913,9696.100906,1588.352298,374.7819451,9696.100906,1629.511254,-95.66706589,9696.100906,1686.385835,-152.5415965,9696.100906,3074.566536,-273.9916711,9696.100906,3114.269916,-234.2882557,9696.100906
RE+3/2,2580.420131,1757.931364,9664.100768,2526.184288,1772.463841,9664.100768,1384.709573,973.1946408,9664.100921,1363.892006,895.5025617,9664.100921,1563.47181,467.5022893,9664.100921,1636.36867,433.5099651,9664.100921,2982.370203,794.1699885,9664.100921,3006.099808,845.0583507,9664.100921
RE+3/3,1823.293009,2534.220657,9696.100609,1767.357588,2529.326967,9696.100609,968.0883875,1387.852252,9696.100791,975.0985293,1307.725551,9696.100804,1309.026913,973.7971672,9696.100804,1389.153614,966.7870253,9696.100804,2530.628329,1766.056225,9696.100804,2535.522019,1821.991646,9696.100804
RE+3/4,845.9952678,3004.968387,9664.100542,795.1069055,2981.238782,9664.100542,434.4468816,1635.237249,9664.100542,468.4392058,1562.34039,9664.100542,896.4394781,1362.760585,9664.100542,974.1315572,1383.578152,9664.100542,1773.400757,2525.052867,9664.100542,1758.868281,2579.28871,9664.100542
RE+3/5,-232.9868925,3112.968555,9696.100486,-272.690308,3073.265175,9696.100486,-151.2402341,1685.084474,9696.100486,-94.36570344,1628.209892,9696.100486,376.0833076,1587.050937,9696.100486,441.9699537,1633.185307,9696.100486,802.6299777,2979.18684,9696.100486,770.424166,3025.181462,9696.100486
RE+3/6,-1284.231208,2845.387357,9664.100773,-1307.960859,2794.499016,9664.100773,-719.0493586,1531.574227,9664.100773,-646.1525293,1497.581837,9664.100773,-189.9978734,1619.808109,9664.100773,-143.8635621,1685.694796,9664.100773,-265.313636,3073.875497,9664.100773,-311.3082869,3106.081268,9664.100773
RE+3/7,-2180.200663,2234.563923,9696.1006,-2185.094403,2178.628506,9696.10061,-1199.752894,1193.286997,9696.100792,-1119.6262,1186.276783,9696.100794,-732.7848823,1457.145989,9696.100755,-711.9673847,1534.838087,9696.100743,-1300.878885,2797.762876,9696.10052,-1355.114742,2812.295304,9696.100517
RE+3/8,-2813.502654,1353.858011,9664.100757,-2798.970226,1299.622155,9664.100767,-1536.045437,710.7106536,9664.100888,-1458.353339,731.5281512,9664.100886,-1187.484133,1118.369468,9664.100826,-1194.494346,1198.496163,9664.100813,-2179.835855,2183.837672,9664.100631,-2235.771272,2178.943932,9664.10063
